target_month,region,prefecture,store_code,store_name,channel,category,target_orders,target_sales_amount,target_gross_profit,target_new_customers,planning_basis
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,Wholesale,NetworkDevices,263,8559481,2154224,34,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,CorporateSales,NetworkDevices,409,8373966,2472852,23,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,EC,SafetyGear,278,3673434,921959,15,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,RetailStore,SafetyGear,363,1979547,334516,47,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,Wholesale,SafetyGear,354,8930589,2659887,30,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,CorporateSales,SafetyGear,408,7125976,1707091,22,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,EC,BusinessSoftware,415,2132989,467633,14,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,RetailStore,BusinessSoftware,315,5267228,1629016,27,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,Wholesale,BusinessSoftware,204,8445260,1680109,50,SalesPlan
2025-01,Hokkaido,Hokkaido,ST001,Hokkaido_Branch_1,CorporateSales,BusinessSoftware,273,3630888,859449,37,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,EC,NetworkDevices,226,8774150,1434728,21,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,RetailStore,NetworkDevices,333,2619043,538361,23,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,Wholesale,NetworkDevices,131,4453382,816728,38,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,CorporateSales,NetworkDevices,306,6296079,1324556,15,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,EC,FoodPackaging,467,9818548,2529483,35,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,RetailStore,FoodPackaging,258,9742298,1674128,46,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,Wholesale,FoodPackaging,164,5359117,1210579,24,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,CorporateSales,FoodPackaging,446,7993902,1306741,20,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,EC,MedicalConsumables,299,9109346,1763660,27,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,RetailStore,MedicalConsumables,263,4849809,878938,23,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,Wholesale,MedicalConsumables,308,3490412,981020,50,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,CorporateSales,MedicalConsumables,266,8305816,1463853,18,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,EC,BusinessSoftware,196,8612628,2407351,46,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,RetailStore,BusinessSoftware,315,3716149,752345,13,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,Wholesale,BusinessSoftware,281,4251081,798344,21,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,CorporateSales,BusinessSoftware,344,5649041,1197429,43,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,EC,SafetyGear,370,4687914,967678,52,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,RetailStore,SafetyGear,394,6038553,1175516,28,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,Wholesale,SafetyGear,343,5585001,1401304,52,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,CorporateSales,SafetyGear,140,8061333,2054546,48,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,EC,IndustrialEquipment,263,8590513,1730851,28,SalesPlan
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,RetailStore,IndustrialEquipment,363,2085916,552927,37,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,Wholesale,IndustrialEquipment,301,8815094,2586568,18,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST002,Hokkaido_Branch_2,CorporateSales,IndustrialEquipment,392,3156170,556133,18,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,EC,NetworkDevices,120,7018895,1949017,12,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,RetailStore,NetworkDevices,382,7649480,1313349,34,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,Wholesale,NetworkDevices,399,7762376,1494277,27,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,CorporateSales,NetworkDevices,333,7237612,1615557,15,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,EC,CleaningSupplies,217,2987420,907261,9,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,RetailStore,CleaningSupplies,203,7363611,1724458,49,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,Wholesale,CleaningSupplies,337,6488087,1318943,10,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,CorporateSales,CleaningSupplies,381,7509693,1268781,20,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,EC,PCPeripherals,198,5614472,1520921,9,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,RetailStore,PCPeripherals,269,7580939,1351537,45,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,Wholesale,PCPeripherals,413,6541663,1449127,15,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,CorporateSales,PCPeripherals,358,3451121,755990,54,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,EC,SafetyGear,124,9161822,1929034,46,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,RetailStore,SafetyGear,268,4327658,1019983,21,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,Wholesale,SafetyGear,364,8933911,1956107,31,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,CorporateSales,SafetyGear,144,6918595,1814140,27,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,EC,OfficeSupplies,337,5094117,1151602,25,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,RetailStore,OfficeSupplies,281,6626303,1447053,51,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,Wholesale,OfficeSupplies,280,8225709,1631464,29,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,CorporateSales,OfficeSupplies,172,3139827,903360,23,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,EC,IndustrialEquipment,215,5174332,1431549,21,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,RetailStore,IndustrialEquipment,217,6514128,1682228,52,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,Wholesale,IndustrialEquipment,168,4491253,1264105,28,SalesPlan
2025-01,Hokkaido,Hokkaido,ST003,Hokkaido_Branch_3,CorporateSales,IndustrialEquipment,373,2379015,477853,9,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,EC,OfficeSupplies,135,5870379,1471427,23,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,RetailStore,OfficeSupplies,279,4673913,1430094,40,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,Wholesale,OfficeSupplies,148,4725725,1184051,50,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,CorporateSales,OfficeSupplies,267,6408278,1458509,17,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,EC,CleaningSupplies,389,5642834,967527,8,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,RetailStore,CleaningSupplies,224,6243160,1056930,38,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,Wholesale,CleaningSupplies,169,6276178,1010598,31,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,CorporateSales,CleaningSupplies,301,2752625,575533,44,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,EC,IndustrialEquipment,240,5626211,1477058,9,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,RetailStore,IndustrialEquipment,405,4529788,967072,33,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,Wholesale,IndustrialEquipment,395,4282446,1244545,33,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,CorporateSales,IndustrialEquipment,419,5423588,1168403,32,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,EC,MedicalConsumables,311,5795158,1588992,26,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,RetailStore,MedicalConsumables,360,3665788,902992,34,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,Wholesale,MedicalConsumables,337,4581125,1408535,25,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,CorporateSales,MedicalConsumables,333,5108941,921708,24,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,EC,SafetyGear,185,5347039,1558244,51,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,RetailStore,SafetyGear,147,6819272,1715105,28,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,Wholesale,SafetyGear,186,3530565,924409,25,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,CorporateSales,SafetyGear,395,5336671,1507946,52,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,EC,FoodPackaging,247,2330816,382976,32,SalesPlan
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,RetailStore,FoodPackaging,311,9215225,2013408,54,PriorYearAdjustment
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,Wholesale,FoodPackaging,223,6913565,1175787,50,StrategicCampaign
2025-01,Hokkaido,Hokkaido,ST004,Hokkaido_Branch_4,CorporateSales,FoodPackaging,448,7077758,1528284,40,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,EC,IndustrialEquipment,326,3711805,831224,29,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,RetailStore,IndustrialEquipment,375,7929318,1653100,41,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,Wholesale,IndustrialEquipment,388,5262185,1315861,37,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,CorporateSales,IndustrialEquipment,369,4638493,1212335,19,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,EC,OfficeSupplies,246,7235924,2009237,36,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,RetailStore,OfficeSupplies,343,3837398,1124544,42,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,Wholesale,OfficeSupplies,399,7369110,2209298,50,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,CorporateSales,OfficeSupplies,291,5685854,1443660,50,StrategicCampaign
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,EC,StoreFixtures,411,10480536,2252131,46,StrategicCampaign
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,RetailStore,StoreFixtures,425,3191204,588238,11,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,Wholesale,StoreFixtures,208,6217395,1290636,21,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,CorporateSales,StoreFixtures,236,6074321,1612640,49,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,EC,MedicalConsumables,213,8808996,2005826,13,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,RetailStore,MedicalConsumables,408,5900900,1425242,47,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,Wholesale,MedicalConsumables,268,4415359,1214416,10,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,CorporateSales,MedicalConsumables,299,6591472,1172507,48,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,EC,BusinessSoftware,367,3637329,702239,53,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,RetailStore,BusinessSoftware,328,4334519,723434,37,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,Wholesale,BusinessSoftware,397,2323202,699498,38,StrategicCampaign
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,CorporateSales,BusinessSoftware,196,3556097,1044641,51,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,EC,SafetyGear,134,1963744,318866,44,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,RetailStore,SafetyGear,262,1904936,388788,20,SalesPlan
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,Wholesale,SafetyGear,283,2867120,875314,8,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST005,Miyagi_Branch_1,CorporateSales,SafetyGear,191,2291633,577406,48,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,EC,NetworkDevices,174,5371387,1380722,39,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,RetailStore,NetworkDevices,277,6251405,1270641,22,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,Wholesale,NetworkDevices,158,3792882,822695,30,StrategicCampaign
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,CorporateSales,NetworkDevices,124,3364671,894728,13,StrategicCampaign
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,EC,StoreFixtures,155,8788527,1836555,21,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,RetailStore,StoreFixtures,171,3528457,1005230,21,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,Wholesale,StoreFixtures,164,2623427,606219,9,StrategicCampaign
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,CorporateSales,StoreFixtures,487,3481164,800463,17,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,EC,OfficeSupplies,239,2507707,703771,41,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,RetailStore,OfficeSupplies,235,5966183,1226555,30,StrategicCampaign
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,Wholesale,OfficeSupplies,210,7165787,1289025,49,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,CorporateSales,OfficeSupplies,374,2614590,682803,13,StrategicCampaign
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,EC,SafetyGear,251,2796989,643103,17,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,RetailStore,SafetyGear,285,7444570,1934670,10,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,Wholesale,SafetyGear,360,4482616,839873,26,StrategicCampaign
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,CorporateSales,SafetyGear,408,4008807,1226396,42,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,EC,CleaningSupplies,375,4331867,1121310,52,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,RetailStore,CleaningSupplies,394,8653328,1622340,44,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,Wholesale,CleaningSupplies,224,7982071,2299463,23,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,CorporateSales,CleaningSupplies,358,8066985,1926756,33,StrategicCampaign
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,EC,FoodPackaging,276,6356867,1551891,46,StrategicCampaign
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,RetailStore,FoodPackaging,455,10850790,3094971,46,SalesPlan
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,Wholesale,FoodPackaging,338,3310526,842470,31,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST006,Miyagi_Branch_2,CorporateSales,FoodPackaging,388,7247311,2126013,17,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,EC,MedicalConsumables,330,7113813,2182077,26,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,RetailStore,MedicalConsumables,151,7511404,1336961,22,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,Wholesale,MedicalConsumables,170,4472327,954859,42,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,CorporateSales,MedicalConsumables,205,5160586,992851,36,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,EC,OfficeSupplies,275,2069236,591588,40,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,RetailStore,OfficeSupplies,259,2101282,456439,21,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,Wholesale,OfficeSupplies,403,1810723,302118,51,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,CorporateSales,OfficeSupplies,395,2804233,514019,20,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,EC,StoreFixtures,381,3208340,646501,26,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,RetailStore,StoreFixtures,345,5805955,1212384,41,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,Wholesale,StoreFixtures,274,10611188,2543072,25,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,CorporateSales,StoreFixtures,493,6292506,1138985,18,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,EC,CleaningSupplies,172,6079997,1280966,41,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,RetailStore,CleaningSupplies,313,6944613,1947795,36,StrategicCampaign
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,Wholesale,CleaningSupplies,316,5356214,1115040,14,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,CorporateSales,CleaningSupplies,228,7030242,1398684,30,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,EC,FoodPackaging,142,9581629,1551007,20,StrategicCampaign
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,RetailStore,FoodPackaging,456,9525711,2009141,52,StrategicCampaign
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,Wholesale,FoodPackaging,450,3868853,1008131,37,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,CorporateSales,FoodPackaging,364,4180858,711043,19,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,EC,PCPeripherals,184,2154783,596731,17,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,RetailStore,PCPeripherals,363,6229859,1344582,23,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,Wholesale,PCPeripherals,146,4490885,827929,45,SalesPlan
2025-01,Tohoku,Miyagi,ST007,Miyagi_Branch_3,CorporateSales,PCPeripherals,276,7882941,1495959,35,SalesPlan
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,EC,MedicalConsumables,167,4531595,1245787,19,StrategicCampaign
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,RetailStore,MedicalConsumables,356,8613017,1905193,28,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,Wholesale,MedicalConsumables,248,6244104,1019963,42,SalesPlan
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,CorporateSales,MedicalConsumables,412,3398819,996131,35,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,EC,FoodPackaging,336,4190738,854995,54,StrategicCampaign
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,RetailStore,FoodPackaging,211,5015745,900898,13,StrategicCampaign
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,Wholesale,FoodPackaging,320,2289813,415468,19,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,CorporateSales,FoodPackaging,167,6822475,1507442,17,StrategicCampaign
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,EC,PCPeripherals,284,6108075,1338442,12,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,RetailStore,PCPeripherals,307,9152291,1965024,15,SalesPlan
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,Wholesale,PCPeripherals,271,7086986,2028479,30,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,CorporateSales,PCPeripherals,376,5734311,1243416,24,StrategicCampaign
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,EC,BusinessSoftware,297,8494798,1797903,37,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,RetailStore,BusinessSoftware,167,4382732,990308,22,SalesPlan
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,Wholesale,BusinessSoftware,165,4367721,730648,18,SalesPlan
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,CorporateSales,BusinessSoftware,258,6698320,1932194,9,StrategicCampaign
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,EC,StoreFixtures,182,4436248,1173439,23,StrategicCampaign
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,RetailStore,StoreFixtures,178,7473520,2203938,28,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,Wholesale,StoreFixtures,228,10038470,2000218,50,PriorYearAdjustment
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,CorporateSales,StoreFixtures,467,5215767,1404217,44,SalesPlan
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,EC,SafetyGear,140,3808678,1049553,20,StrategicCampaign
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,RetailStore,SafetyGear,402,5710412,1389507,9,SalesPlan
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,Wholesale,SafetyGear,340,2338889,666351,13,SalesPlan
2025-01,Tohoku,Miyagi,ST008,Miyagi_Branch_4,CorporateSales,SafetyGear,292,6682460,1866758,13,SalesPlan
2025-01,Tohoku,Fukushima,ST009,Fukushima_Branch_1,EC,MedicalConsumables,288,3795276,701403,27,StrategicCampaign
2025-01,Tohoku,Fukushima,ST009,Fukushima_Branch_1,RetailStore,MedicalConsumables,275,1845218,468809,31,PriorYearAdjustment
2025-01,Tohoku,Fukushima,ST009,Fukushima_Branch_1,Wholesale,MedicalConsumables,336,6310950,1054832,52,PriorYearAdjustment
2025-01,Tohoku,Fukushima,ST009,Fukushima_Branch_1,CorporateSales,MedicalConsumables,189,7707972,1296298,28,SalesPlan
2025-01,Tohoku,Fukushima,ST009,Fukushima_Branch_1,EC,OfficeSupplies,398,4770327,871617,22,SalesPlan
2025-01,Tohoku,Fukushima,ST009,Fukushima_Branch_1,RetailStore,OfficeSupplies,366,6471968,1063453,30,SalesPlan
2025-01,Tohoku,Fukushima,ST009,Fukushima_Branch_1,Wholesale,OfficeSupplies,259,2569580,446023,53,PriorYearAdjustment
2025-01,Tohoku,Fukushima,ST009,Fukushima_Branch_1,CorporateSales,OfficeSupplies,241,8831027,2512407,11,SalesPlan
2025-01,Tohoku,Fukushima,ST009,Fukushima_Branch_1,EC,BusinessSoftware,151,7365186,1261827,48,StrategicCampaign
2025-01,Tohoku,Fukushima,ST009,Fukushima_Branch_1,RetailStore,BusinessSoftware,275,2948618,703053,23,StrategicCampaign
